cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,prtvtgb,gndr,agea,eduyrs,inwtm
GB,ESS1-6e01,1,26.11.2014,136288,ESS6e02_1,6,2.1,312207,0.5052810723,0.4917370183,2.282115223,88,2,78,11,41
GB,ESS1-6e01,1,26.11.2014,136289,ESS6e02_1,6,2.1,313015,0.5052810872,0.4917370329,2.282115223,2,2,68,12,33
GB,ESS1-6e01,1,26.11.2014,136290,ESS6e02_1,6,2.1,313049,0.5052810872,0.4917370329,2.282115223,3,2,62,9,38
GB,ESS1-6e01,1,26.11.2014,136291,ESS6e02_1,6,2.1,313056,0.5052810872,0.6830311241,2.282115223,66,1,23,11,19
GB,ESS1-6e01,1,26.11.2014,136292,ESS6e02_1,6,2.1,313064,1.0105621744,0.8176041287,2.282115223,66,2,45,12,37
GB,ESS1-6e01,1,26.11.2014,136293,ESS6e02_1,6,2.1,313072,0.5052810872,0.5674149112,2.282115223,1,1,51,12,32
GB,ESS1-6e01,1,26.11.2014,136294,ESS6e02_1,6,2.1,313098,0.5052810872,0.4981516653,2.282115223,3,1,61,12,53
GB,ESS1-6e01,1,26.11.2014,136295,ESS6e02_1,6,2.1,313148,0.5052810872,0.4917370329,2.282115223,1,2,70,10,46
GB,ESS1-6e01,1,26.11.2014,136296,ESS6e02_1,6,2.1,313155,1.0105621744,0.9834740658,2.282115223,1,2,62,12,45
GB,ESS1-6e01,1,26.11.2014,136297,ESS6e02_1,6,2.1,313171,0.5052810872,0.4917370329,2.282115223,2,2,93,10,15
GB,ESS1-6e01,1,26.11.2014,136298,ESS6e02_1,6,2.1,313189,1.5158432313,1.4944549663,2.282115223,2,1,65,9,28
GB,ESS1-6e01,1,26.11.2014,136299,ESS6e02_1,6,2.1,313197,1.5158432313,1.4752110695,2.282115223,66,2,58,10,28
GB,ESS1-6e01,1,26.11.2014,136300,ESS6e02_1,6,2.1,313205,1.0105621744,0.8176041287,2.282115223,1,2,36,12,31
GB,ESS1-6e01,1,26.11.2014,136301,ESS6e02_1,6,2.1,314047,1.0105621477,0.973118932,2.282115223,2,2,28,16,36
GB,ESS1-6e01,1,26.11.2014,136302,ESS6e02_1,6,2.1,314062,1.0105621477,0.996303305,2.282115223,2,1,55,11,47
GB,ESS1-6e01,1,26.11.2014,136303,ESS6e02_1,6,2.1,314070,1.0105621477,0.8176041077,2.282115223,4,2,53,11,38
GB,ESS1-6e01,1,26.11.2014,136304,ESS6e02_1,6,2.1,314096,1.0105621477,0.9834740405,2.282115223,4,2,60,12,43
GB,ESS1-6e01,1,26.11.2014,136305,ESS6e02_1,6,2.1,314104,0.5052810739,0.4088020538,2.282115223,4,2,53,11,34
GB,ESS1-6e01,1,26.11.2014,136306,ESS6e02_1,6,2.1,314138,0.5052810739,0.486559466,2.282115223,2,2,25,11,48
GB,ESS1-6e01,1,26.11.2014,136307,ESS6e02_1,6,2.1,314153,1.0105621477,0.996303305,2.282115223,88,1,74,11,52
GB,ESS1-6e01,1,26.11.2014,136308,ESS6e02_1,6,2.1,314161,0.5052810739,0.4917370203,2.282115223,3,2,60,17,33
GB,ESS1-6e01,1,26.11.2014,136309,ESS6e02_1,6,2.1,314187,1.5158431913,1.2264061364,2.282115223,2,2,47,13,58
GB,ESS1-6e01,1,26.11.2014,136310,ESS6e02_1,6,2.1,314195,1.0105621477,1.1348297932,2.282115223,4,1,40,12,46
GB,ESS1-6e01,1,26.11.2014,136311,ESS6e02_1,6,2.1,314203,1.0105621477,1.1348297932,2.282115223,4,1,37,11,30
GB,ESS1-6e01,1,26.11.2014,136312,ESS6e02_1,6,2.1,315051,0.5052810616,0.4981516407,2.282115223,4,1,60,10,38
